DDI-MedLine.d62.s3|179-186|spectrin|drug
DDI-MedLine.d179.s2|169-173|lines|group
DDI-MedLine.d179.s3|11-15|lines|group
DDI-MedLine.d179.s3|84-92|sunitinib|drug
DDI-MedLine.d179.s3|97-105|docetaxel|drug
DDI-MedLine.d179.s3|143-157|administrations|group
DDI-MedLine.d179.s4|122-132|alterations|group
DDI-MedLine.d179.s5|0-8|Sunitinib|drug
DDI-MedLine.d179.s5|67-71|lines|group
DDI-MedLine.d179.s5|118-126|docetaxel|drug
DDI-MedLine.d179.s6|37-45|sunitinib|drug
DDI-MedLine.d179.s6|51-59|docetaxel|drug
DDI-MedLine.d179.s6|113-127|administrations|group
DDI-MedLine.d179.s6|137-141|drugs|group
DDI-MedLine.d179.s7|27-35|docetaxel|drug
DDI-MedLine.d179.s7|49-57|sunitinib|drug
DDI-MedLine.d179.s8|102-110|docetaxel|drug
DDI-MedLine.d179.s8|179-187|sunitinib|drug
DDI-MedLine.d179.s10|0-8|Sunitinib|drug
DDI-MedLine.d179.s10|22-26|agent|group
DDI-MedLine.d179.s10|87-91|lines|group
DDI-MedLine.d179.s10|119-127|mutations|group
DDI-MedLine.d179.s10|166-174|docetaxel|drug
DDI-MedLine.d179.s10|188-196|sunitinib|drug
DDI-MedLine.d179.s10|213-221|sunitinib|drug
DDI-MedLine.d179.s10|235-243|docetaxel|drug
DDI-MedLine.d159.s0|21-38|acetyl-l-carnitine|drug
DDI-MedLine.d159.s0|51-61|lipoic acid|drug
DDI-MedLine.d159.s1|61-81|1,2:3,4-diepoxybutane|drug
DDI-MedLine.d159.s1|146-147|FA|brand
DDI-MedLine.d159.s2|37-46|inhibitors|group
DDI-MedLine.d159.s2|206-207|FA|brand
DDI-MedLine.d159.s3|131-141|suspensions|group
DDI-MedLine.d159.s3|153-162|inhibitors|group
DDI-MedLine.d159.s3|175-184|hydrolases|group
DDI-MedLine.d159.s3|187-196|inhibitors|group
DDI-MedLine.d159.s3|212-218|enzymes|group
DDI-MedLine.d159.s3|223-247|glutathione S-transferase|drug
DDI-MedLine.d159.s3|253-260|catalase|drug
DDI-MedLine.d159.s3|280-290|glutathione|drug
DDI-MedLine.d159.s4|58-69|antioxidants|group
DDI-MedLine.d159.s4|90-106|protective agents|group
DDI-MedLine.d159.s5|80-88|the first|brand
DDI-MedLine.d159.s5|209-211|ATP|drug
DDI-MedLine.d159.s5|231-235|death|drug
DDI-MedLine.d159.s6|5-22|acetyl-l-carnitine|drug
DDI-MedLine.d159.s6|115-131|alpha-lipoic acid|drug
DDI-MedLine.d159.s7|159-160|FA|brand
DDI-MedLine.d159.s7|206-210|agent|group
DDI-MedLine.d164.s0|0-8|Lapatinib|drug
DDI-MedLine.d164.s1|41-49|lapatinib|drug
DDI-MedLine.d164.s1|65-73|Herceptin|brand
DDI-MedLine.d164.s1|133-141|lapatinib|drug
DDI-MedLine.d164.s1|328-333|agents|group
DDI-MedLine.d164.s2|17-25|lapatinib|drug
DDI-MedLine.d164.s2|42-50|Herceptin|brand
DDI-MedLine.d164.s3|22-30|lapatinib|drug
DDI-MedLine.d164.s3|112-116|lines|group
DDI-MedLine.d164.s4|56-64|Herceptin|brand
DDI-MedLine.d164.s4|86-94|lapatinib|drug
DDI-MedLine.d164.s5|0-8|Lapatinib|drug
DDI-MedLine.d193.s0|0-9|Ticagrelor|drug
DDI-MedLine.d193.s0|12-19|Brilinta|brand
DDI-MedLine.d193.s0|35-45|clopidogrel|drug
DDI-MedLine.d193.s0|48-53|Plavix|brand
DDI-MedLine.d193.s1|21-30|ticagrelor|drug
DDI-MedLine.d193.s1|105-111|aspirin|brand
DDI-MedLine.d193.s2|21-31|clopidogrel|drug
DDI-MedLine.d193.s2|34-39|Plavix|brand
DDI-MedLine.d193.s2|46-54|prasugrel|drug
DDI-MedLine.d193.s2|57-63|Effient|brand
DDI-MedLine.d193.s3|0-10|Clopidogrel|drug
DDI-MedLine.d43.s0|70-83|subpopulations|group
DDI-MedLine.d43.s0|98-103|murine|brand
DDI-MedLine.d43.s1|114-119|agents|group
DDI-MedLine.d43.s2|0-8|The first|brand
DDI-MedLine.d43.s7|183-195|phenobarbital|drug
DDI-MedLine.d43.s10|42-44|hit|drug
DDI-MedLine.d43.s11|30-32|hit|drug
DDI-MedLine.d100.s0|29-36|blockers|group
DDI-MedLine.d100.s0|63-89|arachidonic acid metabolism|drug
DDI-MedLine.d100.s1|51-77|arachidonic acid metabolism|drug
DDI-MedLine.d100.s2|50-61|calcium ions|drug
DDI-MedLine.d100.s2|113-119|release|brand
DDI-MedLine.d100.s3|0-6|Release|brand
DDI-MedLine.d100.s3|11-26|arachidonic acid|drug
DDI-MedLine.d100.s3|42-54|phospholipids|group
DDI-MedLine.d100.s3|92-98|release|brand
DDI-MedLine.d100.s3|168-179|calcium ions|drug
DDI-MedLine.d100.s4|0-8|Adenosine|drug
DDI-MedLine.d100.s4|23-31|phosphate|brand
DDI-MedLine.d100.s4|65-76|calcium ions|drug
DDI-MedLine.d100.s4|95-103|regulates|group
DDI-MedLine.d100.s4|123-131|reactions|group
DDI-MedLine.d100.s5|13-19|calcium|drug
DDI-MedLine.d100.s5|39-47|verapamil|drug
DDI-MedLine.d100.s5|50-58|diltiazem|drug
DDI-MedLine.d100.s5|64-73|nifedipine|drug
DDI-MedLine.d100.s6|6-11|agents|group
DDI-MedLine.d100.s6|66-72|release|brand
DDI-MedLine.d100.s7|35-41|calcium|drug
DDI-MedLine.d100.s8|17-23|calcium|drug
DDI-MedLine.d100.s8|59-85|arachidonic acid metabolism|drug
DDI-MedLine.d73.s0|52-95|1-methyl-4-phenyl-1,2,5,6-tetrahydropyridine|drug_n
DDI-MedLine.d73.s2|47-56|depletions|group
DDI-MedLine.d73.s2|70-77|dopamine|drug
DDI-MedLine.d73.s2|143-151|pargyline|drug
DDI-MedLine.d73.s3|61-70|disruptive|group
DDI-MedLine.d73.s3|83-93|amphetamine|drug
DDI-MedLine.d73.s3|125-134|disruptive|group
DDI-MedLine.d73.s3|147-157|apomorphine|drug
DDI-MedLine.d73.s4|37-46|depletions|group
DDI-MedLine.d73.s4|60-67|dopamine|drug
DDI-MedLine.d73.s4|79-85|actions|group
DDI-MedLine.d73.s4|107-115|pargyline|drug
DDI-MedLine.d73.s5|6-17|observations|group
DDI-MedLine.d73.s5|110-118|pargyline|drug
DDI-MedLine.d31.s0|50-56|aspects|brand
DDI-MedLine.d31.s3|45-55|alterations|group
DDI-MedLine.d31.s5|60-67|examines|group
DDI-MedLine.d31.s5|112-123|implications|group
DDI-DrugBank.d449.s0|23-39|antifungal agents|group
DDI-DrugBank.d449.s0|49-60|ketoconazole|drug
DDI-DrugBank.d449.s0|65-76|itraconazole|drug
DDI-DrugBank.d449.s1|12-22|fluvoxamine|drug
DDI-DrugBank.d449.s1|25-34|cimetidine|drug
DDI-DrugBank.d449.s1|46-50|Xanax|brand
DDI-DrugBank.d449.s2|0-9|Fluoxetine|drug
DDI-DrugBank.d449.s2|17-26|sertraline|drug
DDI-DrugBank.d449.s2|29-37|diltiazem|drug
DDI-DrugBank.d449.s2|50-60|antibiotics|group
DDI-DrugBank.d8.s0|35-56|central nervous system|group
DDI-DrugBank.d8.s0|106-112|ALFENTA|brand
DDI-DrugBank.d8.s0|160-170|depressants|group
DDI-DrugBank.d8.s0|180-191|barbiturates|group
DDI-DrugBank.d8.s0|194-206|tranquilizers|group
DDI-DrugBank.d8.s0|209-215|opioids|group
DDI-DrugBank.d8.s0|240-250|anesthetics|group
DDI-DrugBank.d8.s1|75-80|agents|group
DDI-DrugBank.d8.s2|61-66|agents|group
DDI-DrugBank.d8.s3|80-90|anesthetics|group
DDI-DrugBank.d8.s3|121-129|the first|brand
DDI-DrugBank.d8.s3|160-166|ALFENTA|brand
DDI-DrugBank.d8.s3|201-212|erythromycin|drug
DDI-DrugBank.d8.s3|219-225|ALFENTA|brand
DDI-DrugBank.d8.s3|253-259|ALFENTA|brand
DDI-DrugBank.d8.s4|0-9|Cimetidine|drug
DDI-DrugBank.d8.s4|36-42|ALFENTA|brand
DDI-DrugBank.d8.s5|18-24|ALFENTA|brand
DDI-DrugBank.d8.s5|109-115|ALFENTA|brand
DDI-DrugBank.d8.s6|32-36|drugs|group
DDI-DrugBank.d8.s6|56-60|blood|group
DDI-DrugBank.d8.s6|118-124|prolong|brand
DDI-DrugBank.d416.s0|103-114|sulfonamides|group
DDI-DrugBank.d416.s0|117-124|procaine|drug
DDI-DrugBank.d416.s2|0-9|Probenecid|drug
DDI-DrugBank.d416.s2|55-59|acids|group
DDI-DrugBank.d416.s3|30-39|probenecid|drug
DDI-DrugBank.d22.s0|0-18|Aminosalicylic acid|drug
DDI-DrugBank.d22.s0|47-53|digoxin|drug
DDI-DrugBank.d22.s0|56-62|Lanoxin|brand
DDI-DrugBank.d22.s0|65-74|Lanoxicaps|brand
DDI-DrugBank.d22.s0|106-109|body|brand
DDI-DrugBank.d22.s1|32-38|digoxin|drug
DDI-DrugBank.d22.s1|53-71|aminosalicylic acid|drug
DDI-DrugBank.d22.s1|90-96|digoxin|drug
DDI-DrugBank.d22.s2|0-18|Aminosalicylic acid|drug
DDI-DrugBank.d22.s2|56-66|vitamin B12|brand
DDI-DrugBank.d22.s3|33-43|vitamin B12|brand
DDI-DrugBank.d22.s3|69-87|aminosalicylic acid|drug
DDI-DrugBank.d318.s0|46-50|drugs|group
DDI-DrugBank.d318.s0|70-83|amphotericin B|drug
DDI-DrugBank.d318.s0|86-106|Antineoplastic agents|group
DDI-DrugBank.d318.s1|0-20|Antineoplastic agents|group
DDI-DrugBank.d318.s1|30-37|nitrogen|drug
DDI-DrugBank.d318.s2|0-14|Corticosteroids|group
DDI-DrugBank.d318.s2|20-32|Corticotropin|drug
DDI-DrugBank.d318.s3|42-48|control|brand
DDI-DrugBank.d318.s3|66-79|amphotericin B|drug
DDI-DrugBank.d318.s4|39-43|serum|group
DDI-DrugBank.d318.s4|62-77|cardiac function|group
DDI-DrugBank.d318.s5|0-19|Digitalis glycosides|group
DDI-DrugBank.d318.s5|72-80|digitalis|group
DDI-DrugBank.d318.s6|0-4|Serum|group
DDI-DrugBank.d318.s6|27-42|cardiac function|group
DDI-DrugBank.d318.s7|0-10|Flucytosine|drug
DDI-DrugBank.d318.s7|51-64|amphotericin B|drug
DDI-DrugBank.d318.s7|130-140|flucytosine|drug
DDI-DrugBank.d318.s8|0-9|Imidazoles|group
DDI-DrugBank.d318.s8|19-30|ketoconazole|drug
DDI-DrugBank.d318.s8|33-42|miconazole|drug
DDI-DrugBank.d318.s8|45-56|clotrimazole|drug
DDI-DrugBank.d318.s8|59-69|fluconazole|drug
DDI-DrugBank.d318.s8|131-144|amphotericin B|drug
DDI-DrugBank.d318.s8|150-159|imidazoles|group
DDI-DrugBank.d318.s8|174-183|imidazoles|group
DDI-DrugBank.d318.s8|217-230|amphotericin B|drug
DDI-DrugBank.d318.s10|18-28|medications|group
DDI-DrugBank.d318.s10|31-36|agents|group
DDI-DrugBank.d318.s10|46-60|aminoglycosides|group
DDI-DrugBank.d318.s10|63-74|cyclosporine|drug
DDI-DrugBank.d318.s10|81-91|pentamidine|drug
DDI-DrugBank.d318.s11|107-117|medications|group
DDI-DrugBank.d318.s12|9-24|muscle relaxants|group
DDI-DrugBank.d318.s12|108-123|muscle relaxants|group
DDI-DrugBank.d318.s12|132-143|tubocurarine|drug
DDI-DrugBank.d318.s13|0-4|Serum|group
DDI-DrugBank.d318.s14|101-114|amphotericin B|drug
DDI-DrugBank.d357.s0|5-15|Antagonists|group
DDI-DrugBank.d357.s0|90-100|apomorphine|drug
DDI-DrugBank.d357.s0|124-134|ondansetron|drug
DDI-DrugBank.d357.s0|160-170|apomorphine|drug
